index,path,filename,width,height,aspect,orientation,mean_r,mean_g,mean_b,brightness,saturation,contrast,colorfulness,edge_density,phash,cluster
1,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0001_752c6c60a691.jpg,pin_0001_752c6c60a691.jpg,474,466,1.0172,square-ish,198.522,194.928,186.036,0.7647,0.0765,0.1605,13.6731,0.0463,f871a3b29b919d84,11
2,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0002_12a45ccdeba2.jpg,pin_0002_12a45ccdeba2.jpg,1170,1077,1.0864,square-ish,159.902,137.189,121.443,0.5576,0.266,0.2425,27.9567,0.0919,a583f3dc81c8d879,8
3,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0003_5d12c249a74a.jpg,pin_0003_5d12c249a74a.jpg,1079,805,1.3404,landscape,139.207,135.909,130.085,0.5343,0.0933,0.2492,9.6312,0.0996,e1c3cf454c6307b3,8
4,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0004_4bf7ca91a421.png,pin_0004_4bf7ca91a421.png,2048,2048,1.0,square-ish,199.784,170.537,139.79,0.6893,0.3085,0.1903,45.3694,0.0637,f7331b89cccc0707,2
5,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0005_038273f7524b.jpg,pin_0005_038273f7524b.jpg,1200,675,1.7778,landscape,128.601,162.849,198.301,0.6143,0.3896,0.1984,57.0904,0.1216,93cf5f97c21f4012,8
6,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0006_9a4d1ccf0940.jpg,pin_0006_9a4d1ccf0940.jpg,1179,870,1.3552,landscape,84.775,155.035,97.492,0.4999,0.5006,0.2583,81.7106,0.1347,e1dc9c53c7860f19,10
7,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0007_80e567676b49.jpg,pin_0007_80e567676b49.jpg,915,1251,0.7314,portrait,100.419,137.021,153.234,0.5017,0.4497,0.2556,55.9346,0.1675,ad7bd3e07282891b,6
8,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0008_3bdded5057b4.jpg,pin_0008_3bdded5057b4.jpg,356,356,1.0,square-ish,82.522,79.944,78.006,0.3155,0.0918,0.2023,7.7082,0.0167,c0d46f6a787f90a4,1
9,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0009_950c3f2f4e89.jpg,pin_0009_950c3f2f4e89.jpg,650,433,1.5012,landscape,185.599,176.741,173.744,0.7022,0.0753,0.211,14.6488,0.1004,ade0d28fc33c4f30,3
10,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0010_f45fdb8b5bc2.jpg,pin_0010_f45fdb8b5bc2.jpg,1080,1920,0.5625,portrait,134.289,112.177,90.891,0.4563,0.3457,0.2096,41.9634,0.1494,d1c533084e3dfa3c,9
11,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0011_74a8267a872c.jpg,pin_0011_74a8267a872c.jpg,499,481,1.0374,square-ish,122.263,104.398,91.301,0.4246,0.2559,0.2847,38.042,0.0971,869fb860476ac72b,8
12,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0012_0f0739fe3e73.jpg,pin_0012_0f0739fe3e73.jpg,916,776,1.1804,square-ish,151.509,129.952,136.574,0.5378,0.1691,0.1905,26.1548,0.0197,ee9781486709f2bc,2
13,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0013_e480e83439a0.jpg,pin_0013_e480e83439a0.jpg,1179,743,1.5868,landscape,98.351,109.513,107.416,0.4154,0.2922,0.2451,21.1369,0.1166,c8a89ab21bad6d96,8
14,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0014_1ea1d8629d55.jpg,pin_0014_1ea1d8629d55.jpg,1199,875,1.3703,landscape,58.615,71.483,78.152,0.2682,0.3728,0.2685,47.6687,0.0158,e7d3180c6773929c,1
15,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0015_4e4d87bd2aae.jpg,pin_0015_4e4d87bd2aae.jpg,550,611,0.9002,square-ish,106.353,71.722,71.291,0.3217,0.5222,0.2849,32.5594,0.0441,d833676ccf4c3861,4
16,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0016_f716567fba54.jpg,pin_0016_f716567fba54.jpg,828,825,1.0036,square-ish,126.033,135.101,148.636,0.5251,0.1804,0.2502,15.876,0.0256,d1dcd7bfa3280948,2
17,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0017_45ccb78b98d6.jpg,pin_0017_45ccb78b98d6.jpg,570,720,0.7917,portrait,79.588,62.107,48.307,0.2579,0.4492,0.1931,25.9309,0.1395,c4323fc616cdca72,0
18,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0018_40a31f64b66e.jpg,pin_0018_40a31f64b66e.jpg,1447,1433,1.0098,square-ish,116.705,116.728,116.693,0.4577,0.0009,0.2767,0.3102,0.0437,c9f0bf37858821cb,5
19,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0019_894ea42fa20a.jpg,pin_0019_894ea42fa20a.jpg,474,632,0.75,portrait,111.295,105.662,96.061,0.4167,0.1881,0.2518,21.8319,0.1177,e0959b788767982b,9
20,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0020_c0a6737f37e0.jpg,pin_0020_c0a6737f37e0.jpg,500,375,1.3333,landscape,146.535,146.275,143.717,0.5728,0.12,0.2861,14.7108,0.1359,e626a46493fd1ba1,8
21,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0021_324a9eec7643.jpg,pin_0021_324a9eec7643.jpg,750,514,1.4591,landscape,39.287,37.405,39.519,0.1505,0.2533,0.1715,2.1803,0.1097,c07f18709fc762b8,0
22,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0022_9f700756a5b9.png,pin_0022_9f700756a5b9.png,735,571,1.2872,landscape,160.923,159.78,160.119,0.6281,0.0415,0.247,6.3892,0.0627,951a6a6547dc067b,3
23,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0023_5320386eb27d.jpg,pin_0023_5320386eb27d.jpg,481,487,0.9877,square-ish,103.864,118.03,90.618,0.434,0.3299,0.2772,21.0129,0.0822,9f1465db16a85b26,1
24,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0024_419b3bf7477b.jpg,pin_0024_419b3bf7477b.jpg,564,571,0.9877,square-ish,82.084,113.439,99.182,0.4017,0.5097,0.2234,84.4671,0.098,c9ce323b2ac86ee4,4
25,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0025_a4be828cb925.jpg,pin_0025_a4be828cb925.jpg,690,460,1.5,landscape,87.769,87.769,87.769,0.3442,0.0,0.3307,0.0,0.0572,872f407a9def6094,1
26,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0026_0b7d5939c2cf.jpg,pin_0026_0b7d5939c2cf.jpg,1365,2048,0.6665,portrait,61.539,70.68,62.361,0.2627,0.2885,0.1955,28.1589,0.1498,894fa72d9c351751,9
